,UPC,Description
,14100040972,Goldfish Cheddar Crackers - 30oz - Pepperidge Farm
,696551798376,Nature Valley Crunchy Peanut Butter Granola Bars
,632432757773,Yerba Mate enlightened mint
,613008742768,"Arizona, Iced Tea, Peach"
,818204763801,Trader Joes - Toasted Oatmeal Flakes
,71921008291,Digiorno Pepperoni Frozen Pizza - 9.3oz
,696552053139,Nissin Top Ramen Beef Flavor Ramen Noodle Soup 3 Oz
,73731034620,Mission Rounds Tortilla Chips
,41565141159,Pace Medium Salsa
,75278149010,Foster Farms Honey Roast Turkey
,84114900210,Kettle Jalapeno Potato Chips
,13764027282,Dave's Killer Bread Powerseed
,32100080316,Sara Lee Cinnamon and Raisin Bagel
,257840000008,Foster Farms Chicken Thighs
,798235651585,Barilla Gluten-Free Penne Pasta
,76840101320,"Ben & Jerry's, Ice Cream, Half Baked"
,721865737404,Mini Oreo Cookies
,41271027914,"Stok, Cold Brew Iced Coffee"
,72830009867,Tillamook Smoked Extra-Sharp Cheddar Cheese
,7501030424536,TAKIS FUEGO Takis Fuego
,696551703158,Jif Reduced Fat Creamy Peanut Butter
,47393597168,Stok Cold Brew Iced Black Coffee
,51500013168,Smuckers Strawberry Jam
,9470001043,Chobani Whole Milk Greek Yogurt
,77975080085,"Snyder's Of Hanover, Thins Pretzels"
,5055466154854,Ritz Crackers 200G
,721865083631,Ragu Chunky Bolognese Pasta Sauce
,818288125830,Kirkland Signature Kirkland Signature Unsalted Cashews
,818228533015,5 Gum Peppermint Cobalt Sugarfree Gum
,492122603823,Mission Tortillas Caseras Flour Tortillas
,70662010037,"Nissin, Top Ramen, Ramen Noodle Soup, Chicken"
,14100048305,Goldfish Cheddar Cheese Crackers
,52000016147,Gatorade Organic Passion Fruit Sports Drink - 16.9 Fl Oz Bottle 
,753167535037,"9.5oz Cheetos Flamin Hot Limon Crunchy (Flaming Hot Lime),"
,7506174512248,Chocolate Snickers 48 G
, 818218405827,"Skittles Chewy Candy, Original Skittle Flavor"
,492030000141,Arizona Iced Tea with Lemon - 23 Fl Oz Can
,12546006064,Trident Gum Original 
,  028400579957  ,"Lay's, Potato Chips "
,49000050158,Sprite 2 Liter Bottle
,721865737404,Mini Oreo Cookies 42g
,  818262101201,"La Croix Coconut Sparkling Water, 12 Oz,"
,5000159493451,Twix Bites Chocolate Pouch
,696551703158,Jif Reduced Fat Creamy Peanut Butter
,28400335812,Doritos Flamas Chips
,773821700854,Coke - 2 liter bottles by Diet Coke
,77567281302,"Breyers, Creamy Vanilla Ice Cream, Vanilla"
,492700201519,Smucker's Uncrustables Frozen Peanut Butter - 4pk
,11152107905,Brown Rice
,67857000058,KRAFT MAC N CHEESE 7 Oz BOX
,71007404498,Taquitos
,70462003758,"Sour Patch Kids, Tropical Soft & Chewy Candy"
,35742222328,Chicken Noodle Soup
,864053000192,Salsa God Salsa Verde Medium Heat Salsa
,24100705849,Baked Snack Crackers
,7111191587690,Stacy's Pita Chips Bagel Chips - Toastd Garlic 
,645136000267,Classic Hummus
,885781213357,Cinnamon Toast Crunch Cinnamon Toast Crunch
,48121253196,Everything Bagels
,46100007174,String Cheese